Czas[s];Temperatura[C];Moc[W]
413,5;21,0673;10 000
414;21,0446;0
414,5;21,022;0
415;20,9993;0
415,5;21,0778;10 000
416;21,0551;0
416,5;21,0325;0
417;21,0098;0
417,5;20,9872;0
418;21,0656;10 000
418,5;21,043;0
419;21,0203;0
419,5;20,9977;0
420;21,0761;10 000
420,5;21,0535;0
421;21,0308;0
421,5;21,0082;0
422;20,9855;0
422,5;21,064;10 000
423;21,0413;0
423,5;21,0187;0
424;20,996;0
424,5;21,0745;10 000
425;21,0518;0
425,5;21,0292;0
426;21,0065;0
426,5;20,9839;0
427;21,0624;10 000
427,5;21,0397;0
428;21,017;0
428,5;20,9944;0
429;21,0729;10 000
429,5;21,0502;0
430;21,0275;0
430,5;21,0049;0
431;20,9823;0
431,5;21,0607;10 000
432;21,0381;0
432,5;21,0154;0
433;20,9928;0
433,5;21,0712;10 000
434;21,0486;0
434,5;21,0259;0
435;21,0033;0
435,5;20,9806;0
436;21,0591;10 000
436,5;21,0364;0
437;21,0138;0
437,5;20,9912;0
438;21,0696;10 000
438,5;21,047;0
439;21,0243;0
439,5;21,0017;0
440;20,979;0
440,5;21,0575;10 000
441;21,0348;0
441,5;21,0122;0
442;20,9895;0
442,5;21,068;10 000
443;21,0453;0
443,5;21,0227;0
444;21;0
444,5;20,9774;0
445;21,0559;10 000
445,5;21,0332;0
446;21,0106;0
446,5;20,9879;0
447;21,0664;10 000
447,5;21,0437;0
448;21,0211;0
448,5;20,9984;0
449;21,0769;10 000
449,5;21,0542;0
450;21,0316;0
450,5;21,0089;0
451;20,9863;0
451,5;21,0648;10 000
452;21,0421;0
452,5;21,0194;0
453;20,9968;0
453,5;21,0753;10 000
454;21,0526;0
454,5;21,0299;0
455;21,0073;0
455,5;20,9847;0
456;21,0631;10 000
456,5;21,0405;0
457;21,0178;0
457,5;20,9952;0
458;21,0736;10 000
458,5;21,051;0
459;21,0283;0
459,5;21,0057;0
460;20,983;0
460,5;21,0615;10 000
461;21,0388;0
461,5;21,0162;0
462;20,9935;0
462,5;21,072;10 000
463;21,0493;0
463,5;21,0267;0
464;21,004;0
464,5;20,9814;0
465;21,0599;10 000
465,5;21,0372;0
466;21,0146;0
466,5;20,9919;0
467;21,0704;10 000
467,5;21,0477;0
468;21,0251;0
468,5;21,0024;0
469;20,9798;0
469,5;21,0583;10 000
470;21,0356;0
470,5;21,0129;0
471;20,9903;0
471,5;21,0688;10 000
472;21,0461;0
472,5;21,0234;0
473;21,0008;0
473,5;20,9782;0
474;21,0566;10 000
474,5;21,034;0
475;21,0113;0
475,5;20,9887;0
476;21,0672;10 000
476,5;21,0445;0
477;21,0218;0
477,5;20,9992;0
478;21,0777;10 000
478,5;21,055;0
479;21,0323;0
479,5;21,0097;0
480;20,987;0
480,5;21,0655;10 000
481;21,0428;0
481,5;21,0202;0
482;20,9975;0
482,5;21,076;10 000
483;21,0533;0
483,5;21,0307;0
484;21,008;0
484,5;20,9854;0
485;21,0639;10 000
485,5;21,0412;0
486;21,0185;0
486,5;20,9959;0
487;21,0744;10 000
487,5;21,0517;0
488;21,029;0
488,5;21,0064;0
489;20,9838;0
489,5;21,0622;10 000
490;21,0396;0
490,5;21,0169;0
491;20,9943;0
491,5;21,0727;10 000
492;21,0501;0
492,5;21,0274;0
493;21,0048;0
493,5;20,9821;0
494;21,0606;10 000
494,5;21,0379;0
495;21,0153;0
495,5;20,9926;0
496;21,0711;10 000
496,5;21,0484;0
497;21,0258;0
497,5;21,0031;0
498;20,9805;0
498,5;21,059;10 000
499;21,0363;0
499,5;21,0137;0
