Czas[s];Temperatura[C];Moc[W]
365;20,9936;2 239,85
365,5;20,9937;2 239,88
366;20,9937;2 239,82
366,5;20,9937;2 239,85
367;20,9937;2 239,87
367,5;20,9937;2 239,81
368;20,9937;2 239,83
368,5;20,9937;2 239,85
369;20,9938;2 239,86
369,5;20,9938;2 239,8
370;20,9938;2 239,81
370,5;20,9938;2 239,82
371;20,9938;2 239,83
371,5;20,9938;2 239,84
372;20,9939;2 239,84
372,5;20,9939;2 239,84
373;20,9939;2 239,85
373,5;20,9939;2 239,85
374;20,9939;2 239,85
374,5;20,9939;2 239,84
375;20,9939;2 239,84
375,5;20,994;2 239,84
376;20,994;2 239,83
376,5;20,994;2 239,82
377;20,994;2 239,81
377,5;20,994;2 239,8
378;20,994;2 239,79
378,5;20,9941;2 239,77
379;20,9941;2 239,76
379,5;20,9941;2 239,74
380;20,9941;2 239,72
380,5;20,9941;2 239,7
381;20,9941;2 239,68
381,5;20,9941;2 239,73
382;20,9942;2 239,7
382,5;20,9942;2 239,68
383;20,9942;2 239,73
383,5;20,9942;2 239,7
384;20,9942;2 239,75
384,5;20,9942;2 239,71
385;20,9942;2 239,68
385,5;20,9943;2 239,72
386;20,9943;2 239,68
386,5;20,9943;2 239,72
387;20,9943;2 239,68
387,5;20,9943;2 239,72
388;20,9943;2 239,67
388,5;20,9943;2 239,71
389;20,9944;2 239,66
389,5;20,9944;2 239,69
390;20,9944;2 239,72
390,5;20,9944;2 239,67
391;20,9944;2 239,7
391,5;20,9944;2 239,72
392;20,9944;2 239,67
392,5;20,9945;2 239,69
393;20,9945;2 239,71
393,5;20,9945;2 239,73
394;20,9945;2 239,67
394,5;20,9945;2 239,69
395;20,9945;2 239,7
395,5;20,9945;2 239,71
396;20,9946;2 239,73
396,5;20,9946;2 239,66
397;20,9946;2 239,67
397,5;20,9946;2 239,68
398;20,9946;2 239,68
398,5;20,9946;2 239,69
399;20,9946;2 239,69
399,5;20,9946;2 239,69
400;20,9947;2 239,69
400,5;20,9947;2 239,69
401;20,9947;2 239,69
401,5;20,9947;2 239,69
402;20,9947;2 239,68
402,5;20,9947;2 239,68
403;20,9947;2 239,67
403,5;20,9948;2 239,66
404;20,9948;2 239,65
404,5;20,9948;2 239,64
405;20,9948;2 239,63
405,5;20,9948;2 239,62
406;20,9948;2 239,6
406,5;20,9948;2 239,58
407;20,9949;2 239,57
407,5;20,9949;2 239,55
408;20,9949;2 239,53
408,5;20,9949;2 239,59
409;20,9949;2 239,56
409,5;20,9949;2 239,54
410;20,9949;2 239,59
410,5;20,9949;2 239,56
411;20,995;2 239,53
411,5;20,995;2 239,58
412;20,995;2 239,55
412,5;20,995;2 239,6
413;20,995;2 239,56
413,5;20,995;2 239,53
414;20,995;2 239,57
414,5;20,995;2 239,53
415;20,9951;2 239,57
415,5;20,9951;2 239,53
416;20,9951;2 239,57
416,5;20,9951;2 239,52
417;20,9951;2 239,56
417,5;20,9951;2 239,51
418;20,9951;2 239,55
418,5;20,9951;2 239,58
419;20,9951;2 239,52
419,5;20,9952;2 239,56
420;20,9952;2 239,58
420,5;20,9952;2 239,53
421;20,9952;2 239,55
421,5;20,9952;2 239,58
422;20,9952;2 239,52
422,5;20,9952;2 239,54
423;20,9952;2 239,56
423,5;20,9953;2 239,58
424;20,9953;2 239,51
424,5;20,9953;2 239,53
425;20,9953;2 239,55
425,5;20,9953;2 239,56
426;20,9953;2 239,57
426,5;20,9953;2 239,5
427;20,9953;2 239,52
427,5;20,9954;2 239,52
428;20,9954;2 239,53
428,5;20,9954;2 239,54
429;20,9954;2 239,54
429,5;20,9954;2 239,55
430;20,9954;2 239,55
430,5;20,9954;2 239,55
431;20,9954;2 239,55
431,5;20,9954;2 239,55
432;20,9955;2 239,55
432,5;20,9955;2 239,54
433;20,9955;2 239,54
433,5;20,9955;2 239,53
434;20,9955;2 239,53
434,5;20,9955;2 239,52
435;20,9955;2 239,51
435,5;20,9955;2 239,5
436;20,9955;2 239,49
436,5;20,9956;2 239,48
437;20,9956;2 239,46
437,5;20,9956;2 239,45
438;20,9956;2 239,43
438,5;20,9956;2 239,41
439;20,9956;2 239,4
439,5;20,9956;2 239,46
440;20,9956;2 239,43
440,5;20,9956;2 239,41
441;20,9957;2 239,39
441,5;20,9957;2 239,45
442;20,9957;2 239,42
442,5;20,9957;2 239,39
443;20,9957;2 239,45
443,5;20,9957;2 239,41
444;20,9957;2 239,39
444,5;20,9957;2 239,44
445;20,9957;2 239,4
445,5;20,9958;2 239,45
446;20,9958;2 239,41
446,5;20,9958;2 239,38
447;20,9958;2 239,42
447,5;20,9958;2 239,38
448;20,9958;2 239,42
448,5;20,9958;2 239,38
449;20,9958;2 239,42
449,5;20,9958;2 239,38
450;20,9958;2 239,42
450,5;20,9959;2 239,37
451;20,9959;2 239,41
451,5;20,9959;2 239,44
452;20,9959;2 239,39
452,5;20,9959;2 239,42
453;20,9959;2 239,37
453,5;20,9959;2 239,4
454;20,9959;2 239,43
454,5;20,9959;2 239,37
455;20,996;2 239,4
455,5;20,996;2 239,43
456;20,996;2 239,37
456,5;20,996;2 239,39
457;20,996;2 239,41
457,5;20,996;2 239,43
458;20,996;2 239,37
458,5;20,996;2 239,39
459;20,996;2 239,41
459,5;20,996;2 239,42
460;20,9961;2 239,36
460,5;20,9961;2 239,38
461;20,9961;2 239,39
461,5;20,9961;2 239,4
462;20,9961;2 239,41
462,5;20,9961;2 239,42
463;20,9961;2 239,43
463,5;20,9961;2 239,35
464;20,9961;2 239,37
464,5;20,9961;2 239,37
465;20,9961;2 239,38
465,5;20,9962;2 239,38
466;20,9962;2 239,38
466,5;20,9962;2 239,38
467;20,9962;2 239,38
467,5;20,9962;2 239,38
468;20,9962;2 239,38
468,5;20,9962;2 239,38
469;20,9962;2 239,38
469,5;20,9962;2 239,37
470;20,9962;2 239,37
470,5;20,9963;2 239,36
471;20,9963;2 239,36
471,5;20,9963;2 239,35
472;20,9963;2 239,34
472,5;20,9963;2 239,33
473;20,9963;2 239,32
473,5;20,9963;2 239,31
474;20,9963;2 239,29
474,5;20,9963;2 239,28
475;20,9963;2 239,27
475,5;20,9963;2 239,25
476;20,9964;2 239,23
476,5;20,9964;2 239,3
477;20,9964;2 239,28
477,5;20,9964;2 239,26
478;20,9964;2 239,24
478,5;20,9964;2 239,3
479;20,9964;2 239,27
479,5;20,9964;2 239,25
480;20,9964;2 239,3
480,5;20,9964;2 239,28
481;20,9964;2 239,25
481,5;20,9965;2 239,3
482;20,9965;2 239,27
482,5;20,9965;2 239,25
483;20,9965;2 239,3
483,5;20,9965;2 239,26
484;20,9965;2 239,23
484,5;20,9965;2 239,28
485;20,9965;2 239,25
485,5;20,9965;2 239,29
486;20,9965;2 239,25
486,5;20,9965;2 239,3
487;20,9966;2 239,26
487,5;20,9966;2 239,3
488;20,9966;2 239,26
488,5;20,9966;2 239,22
489;20,9966;2 239,26
489,5;20,9966;2 239,22
490;20,9966;2 239,26
490,5;20,9966;2 239,29
491;20,9966;2 239,25
491,5;20,9966;2 239,28
492;20,9966;2 239,24
492,5;20,9966;2 239,27
493;20,9967;2 239,22
493,5;20,9967;2 239,25
494;20,9967;2 239,28
494,5;20,9967;2 239,23
495;20,9967;2 239,26
495,5;20,9967;2 239,29
496;20,9967;2 239,23
496,5;20,9967;2 239,26
497;20,9967;2 239,28
497,5;20,9967;2 239,23
498;20,9967;2 239,25
498,5;20,9967;2 239,27
499;20,9968;2 239,21
499,5;20,9968;2 239,24
